totalt_antal_fall,adm1_name,case_count,date,cum_confirmed_cases,c1_schoolclosing,c2_workplaceclosing,c3_cancelpublicevents,c4_restrictionsongatherings,c5_closepublictransport,c6_stayathomerequirements,c7_domestictravel,c8_internationaltravel,e1_incomesupport,e2_debtcontractrelief,h1_publicinfocampaign,h2_testingpolicy,h3_contacttracing,school_closure,work_from_home,no_public_gathering,no_private_gathering,travel_ban_local,travel_ban_intl_in,t,dow,month,year,day,adm1_id,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,sample_avg,day_avg,p_swe_1,p_swe_2,p_swe_3,p_swe_4,p_swe_5,p_swe_6,country,adm0_name,cum_confirmed_cases_imputed,cum_deaths,cum_deaths_imputed,population,lat,lon,pos_cases_quarantine,travel_ban_intl_out,social_distance,no_gathering,religious_closure,paid_sick_leave,business_closure,federal_guidelines,home_isolation,transit_suspension,pos_cases_quarantine_popwt,travel_ban_local_popwt,social_distance_popwt,work_from_home_popwt,no_gathering_popwt,school_closure_popwt,religious_closure_popwt,paid_sick_leave_popwt,business_closure_popwt,federal_guidelines_popwt,home_isolation_popwt,transit_suspension_popwt,policies_enacted,testing_regime,adm1_abb,testing_change_usa_13mar2020_NY,testing_change_usa_16mar2020_CA,testing_change_usa_18mar2020_NC,testing_change_usa_19mar2020_CT,testing_change_usa_19mar2020_NV,testing_change_usa_19mar2020_UT,testing_change_usa_20mar2020_IA,testing_change_usa_21mar2020_TN,testing_change_usa_22mar2020_AL,testing_change_usa_23mar2020_HI,testing_change_usa_24mar2020_KS,testing_change_usa_24mar2020_NJ,testing_change_usa_25mar2020_OH,testing_change_usa_27mar2020_AZ,testing_change_usa_28mar2020_MD,testing_change_usa_28mar2020_MO,testing_change_usa_30mar2020_DE,p_usa_1,p_usa_2,p_usa_3,p_usa_4,p_usa_5,p_usa_6,p_usa_7,p_usa_8,p_usa_9,p_usa_10,p_usa_11,_reghdfe_resid,__hdfe1__,__hdfe2__
30,Blekinge,0,2020-03-04,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,04mar2020,3,3,2020,4,Blekinge,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
25,Blekinge,0,2020-03-05,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,05mar2020,4,3,2020,5,Blekinge,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
59,Blekinge,0,2020-03-06,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,06mar2020,5,3,2020,6,Blekinge,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
33,Blekinge,0,2020-03-07,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,07mar2020,6,3,2020,7,Blekinge,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
46,Blekinge,0,2020-03-08,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,08mar2020,0,3,2020,8,Blekinge,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
101,Blekinge,0,2020-03-09,NA,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,09mar2020,1,3,2020,9,Blekinge,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
98,Blekinge,1,2020-03-10,NA,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,10mar2020,2,3,2020,10,Blekinge,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
196,Blekinge,6,2020-03-11,NA,0,0,0,0,0,0,0,0,2,0,2,1,2,0,0,0,0,0,0,11mar2020,3,3,2020,11,Blekinge,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
151,Blekinge,2,2020-03-12,NA,0,0,0,2,0,0,0,0,2,0,2,1,2,0,0,0,1,0,0,12mar2020,4,3,2020,12,Blekinge,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
152,Blekinge,0,2020-03-13,NA,0,0,0,2,0,0,0,0,2,0,2,1,2,0,0,0,1,0,0,13mar2020,5,3,2020,13,Blekinge,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
71,Blekinge,0,2020-03-14,NA,0,0,0,2,0,0,0,0,2,0,2,1,2,0,0,0,1,0,0,14mar2020,6,3,2020,14,Blekinge,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
69,Blekinge,1,2020-03-15,10,0,0,0,2,0,0,0,0,2,0,2,1,2,0,0,0,1,0,0,15mar2020,0,3,2020,15,Blekinge,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
83,Blekinge,0,2020-03-16,10,0,0,0,2,0,0,0,0,2,1,2,1,2,0,0,0,1,0,0,16mar2020,1,3,2020,16,Blekinge,0,0,NA,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
119,Blekinge,1,2020-03-17,11,0,0,0,2,0,0,0,0,2,1,2,1,2,0,0,0,1,0,0,17mar2020,2,3,2020,17,Blekinge,0,1,0,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
145,Blekinge,1,2020-03-18,12,1,0,0,2,0,0,0,0,2,1,2,1,2,1,0,0,1,0,0,18mar2020,3,3,2020,18,Blekinge,0,1,0,0,NA,NA,1,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
143,Blekinge,0,2020-03-19,12,1,0,0,2,0,0,0,3,2,1,2,1,2,1,0,0,1,0,1,19mar2020,4,3,2020,19,Blekinge,0,0,NA,NA,NA,NA,1,0,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
180,Blekinge,0,2020-03-20,12,1,0,0,2,0,0,0,3,2,1,2,1,2,1,0,0,1,0,1,20mar2020,5,3,2020,20,Blekinge,0,0,NA,NA,NA,NA,1,0,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
134,Blekinge,0,2020-03-21,12,1,0,0,2,0,0,0,3,2,1,2,1,2,1,0,0,1,0,1,21mar2020,6,3,2020,21,Blekinge,0,0,NA,NA,NA,NA,1,0,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
118,Blekinge,0,2020-03-22,12,1,0,0,2,0,0,0,3,2,1,2,1,2,1,0,0,1,0,1,22mar2020,0,3,2020,22,Blekinge,0,0,NA,NA,NA,NA,1,0,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
182,Blekinge,0,2020-03-23,12,1,0,0,2,0,0,0,3,2,1,2,1,1,1,0,0,1,0,1,23mar2020,1,3,2020,23,Blekinge,0,0,NA,NA,NA,NA,1,0,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
230,Blekinge,0,2020-03-24,12,1,0,0,2,0,0,0,3,2,1,2,1,1,1,0,0,1,0,1,24mar2020,2,3,2020,24,Blekinge,0,0,NA,NA,NA,NA,1,0,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
314,Blekinge,3,2020-03-25,15,1,1,0,2,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,25mar2020,3,3,2020,25,Blekinge,0,3,1.098612,NA,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
286,Blekinge,0,2020-03-26,15,1,1,0,2,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,26mar2020,4,3,2020,26,Blekinge,0,0,NA,NA,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
365,Blekinge,2,2020-03-27,17,1,1,0,2,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,27mar2020,5,3,2020,27,Blekinge,0,2,0.6931472,NA,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
300,Blekinge,0,2020-03-28,17,1,1,0,2,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,28mar2020,6,3,2020,28,Blekinge,0,0,NA,NA,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
280,Blekinge,4,2020-03-29,21,1,1,0,3,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,29mar2020,0,3,2020,29,Blekinge,0,4,1.386294,NA,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
416,Blekinge,0,2020-03-30,21,1,1,0,3,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,30mar2020,1,3,2020,30,Blekinge,0,0,NA,NA,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
475,Blekinge,1,2020-03-31,22,1,1,0,3,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,31mar2020,2,3,2020,31,Blekinge,0,1,0,NA,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
486,Blekinge,5,2020-04-01,27,1,1,1,3,0,0,0,3,2,1,2,1,1,1,1,1,1,0,1,01apr2020,3,4,2020,1,Blekinge,0,5,1.609438,1.609438,NA,NA,1,1,1,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
554,Blekinge,3,2020-04-02,30,1,1,1,3,0,0,0,3,2,1,2,1,1,1,1,1,1,0,1,02apr2020,4,4,2020,2,Blekinge,0,3,1.098612,NA,NA,NA,1,1,1,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
601,Blekinge,1,2020-04-03,31,1,1,1,3,0,0,0,3,2,1,2,1,1,1,1,1,1,0,1,03apr2020,5,4,2020,3,Blekinge,0,1,0,NA,NA,NA,1,1,1,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
357,Blekinge,4,2020-04-04,35,1,1,1,3,0,0,1,3,2,1,2,1,1,1,1,1,1,1,1,04apr2020,6,4,2020,4,Blekinge,0,4,1.386294,1.386294,NA,NA,1,1,1,1,1,1,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
340,Blekinge,1,2020-04-05,36,1,1,1,3,0,0,1,3,2,1,2,1,1,1,1,1,1,1,1,05apr2020,0,4,2020,5,Blekinge,0,1,0,NA,NA,NA,1,1,1,1,1,1,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
389,Blekinge,0,2020-04-06,36,1,1,1,3,0,0,1,3,2,1,2,1,1,1,1,1,1,1,1,06apr2020,1,4,2020,6,Blekinge,0,0,NA,NA,NA,NA,1,1,1,1,1,1,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
30,Dalarna,0,2020-03-04,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,04mar2020,3,3,2020,4,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
25,Dalarna,0,2020-03-05,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,05mar2020,4,3,2020,5,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
59,Dalarna,0,2020-03-06,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,06mar2020,5,3,2020,6,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
33,Dalarna,0,2020-03-07,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,07mar2020,6,3,2020,7,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
46,Dalarna,0,2020-03-08,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,08mar2020,0,3,2020,8,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
101,Dalarna,0,2020-03-09,NA,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,09mar2020,1,3,2020,9,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
98,Dalarna,0,2020-03-10,NA,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,10mar2020,2,3,2020,10,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
196,Dalarna,1,2020-03-11,NA,0,0,0,0,0,0,0,0,2,0,2,1,2,0,0,0,0,0,0,11mar2020,3,3,2020,11,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
151,Dalarna,3,2020-03-12,NA,0,0,0,2,0,0,0,0,2,0,2,1,2,0,0,0,1,0,0,12mar2020,4,3,2020,12,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
152,Dalarna,1,2020-03-13,NA,0,0,0,2,0,0,0,0,2,0,2,1,2,0,0,0,1,0,0,13mar2020,5,3,2020,13,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
71,Dalarna,0,2020-03-14,NA,0,0,0,2,0,0,0,0,2,0,2,1,2,0,0,0,1,0,0,14mar2020,6,3,2020,14,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
69,Dalarna,0,2020-03-15,NA,0,0,0,2,0,0,0,0,2,0,2,1,2,0,0,0,1,0,0,15mar2020,0,3,2020,15,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
83,Dalarna,0,2020-03-16,NA,0,0,0,2,0,0,0,0,2,1,2,1,2,0,0,0,1,0,0,16mar2020,1,3,2020,16,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
